School Year,State,NCES LEA ID,Local Education Agency (School District) Name,Data Group ID,Data Description,Value,Number of Valid Test Takers,Category
2018-2019,WASHINGTON,,,695,Four-Year Adjusted-Cohort Graduation Rates,75,930,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,WASHINGTON,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.9,47443,White or Caucasian (not Hispanic)
2018-2019,WASHINGTON,,,695,Four-Year Adjusted-Cohort Graduation Rates,81.1,84098,All Students
2018-2019,WASHINGTON,,,695,Four-Year Adjusted-Cohort Graduation Rates,62.2,10456,Children with one or more disabilities (IDEA)
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,80,1731,Economically Disadvantaged
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,0,Foster care students
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,78,1316,Homeless
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,92,115,English Learner
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,>=95,154,Asian
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,75,20,American Indian or Alaska Native
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,>=95,162,Asian / Pacific Islander
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,88,1041,Black or African American
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,91,356,Hispanic/Latino
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,86,376,Two or more races
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,>=50,8,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,91.5,18722,White or Caucasian (not Hispanic)
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,91.3,20677,All Students
2018-2019,WEST VIRGINIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,78.7,3341,Children with one or more disabilities (IDEA)
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.5,22496,Economically Disadvantaged
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,53,349,Foster care students
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,68,1532,Homeless
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,75,2283,English Learner
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,92,2523,Asian
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,79,748,American Indian or Alaska Native
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,92,2577,Asian / Pacific Islander
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,71.4,6065,Black or African American
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.8,7227,Hispanic/Latino
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,86,1891,Two or more races
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,83,54,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,93.8,47515,White or Caucasian (not Hispanic)
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,90.1,66024,All Students
2018-2019,WISCONSIN,,,695,Four-Year Adjusted-Cohort Graduation Rates,69.8,7649,Children with one or more disabilities (IDEA)
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,71.9,3015,Economically Disadvantaged
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,65,334,Homeless
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,67,195,English Learner
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,65,Asian
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,59,196,American Indian or Alaska Native
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,87,78,Asian / Pacific Islander
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,78,80,Black or African American
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,77,949,Hispanic/Latino
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,82,143,Two or more races
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,>=50,13,Native Hawaiian/Other Pacific Islander or Pacific Islander
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,83.8,5485,White or Caucasian (not Hispanic)
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.1,6931,All Students
2018-2019,WYOMING,,,695,Four-Year Adjusted-Cohort Graduation Rates,59,924,Children with one or more disabilities (IDEA)
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,90,NA,All Students
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,90,NA,American Indian or Alaska Native
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,94,NA,Asian
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,94,NA,Asian / Pacific Islander
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,68,NA,Children with one or more disabilities (IDEA)
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.4,NA,Economically Disadvantaged
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,64,NA,English Learner
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,87.6,NA,Hispanic/Latino
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,85,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,91.5,NA,White or Caucasian (not Hispanic)
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,78,NA,Homeless
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,77,NA,Foster care students
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,87.7,NA,Black or African American
2017-2018,ALABAMA,,,695,Four-Year Adjusted-Cohort Graduation Rates,91,NA,Two or more races
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,78.5,NA,All Students
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,69,NA,American Indian or Alaska Native
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,88,NA,Asian
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,84,NA,Asian / Pacific Islander
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,57,NA,Children with one or more disabilities (IDEA)
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,71.9,NA,Economically Disadvantaged
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,61,NA,English Learner
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,NA,Hispanic/Latino
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,74,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,83.7,NA,White or Caucasian (not Hispanic)
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,57,NA,Homeless
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,55,NA,Foster care students
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,73,NA,Black or African American
2017-2018,ALASKA,,,695,Four-Year Adjusted-Cohort Graduation Rates,74,NA,Two or more races
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,78.7,NA,All Students
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,67.8,NA,American Indian or Alaska Native
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,90,NA,Asian
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,89,NA,Asian / Pacific Islander
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,67.7,NA,Children with one or more disabilities (IDEA)
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,73,NA,Economically Disadvantaged
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,47,NA,English Learner
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,75.7,NA,Hispanic/Latino
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,83.4,NA,White or Caucasian (not Hispanic)
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,52,NA,Homeless
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,45,NA,Foster care students
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,73.7,NA,Black or African American
2017-2018,ARIZONA,,,695,Four-Year Adjusted-Cohort Graduation Rates,75,NA,Two or more races
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,89.2,NA,All Students
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,84,NA,American Indian or Alaska Native
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,95,NA,Asian
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,88,NA,Asian / Pacific Islander
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.6,NA,Children with one or more disabilities (IDEA)
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,86.8,NA,Economically Disadvantaged
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,83,NA,English Learner
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.8,NA,Hispanic/Latino
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,73,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,91.2,NA,White or Caucasian (not Hispanic)
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,81,NA,Homeless
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,74,NA,Foster care students
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.6,NA,Black or African American
2017-2018,ARKANSAS,,,695,Four-Year Adjusted-Cohort Graduation Rates,90,NA,Two or more races
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,83,NA,All Students
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,70.5,NA,American Indian or Alaska Native
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,93.6,NA,Asian
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,93,NA,Asian / Pacific Islander
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,66.3,NA,Children with one or more disabilities (IDEA)
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,79.6,NA,Economically Disadvantaged
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,67.9,NA,English Learner
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.6,NA,Hispanic/Latino
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,81,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,87,NA,White or Caucasian (not Hispanic)
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,68.9,NA,Homeless
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,53.1,NA,Foster care students
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,73.3,NA,Black or African American
2017-2018,CALIFORNIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,73.2,NA,Two or more races
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.8,NA,All Students
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,68,NA,American Indian or Alaska Native
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,90,NA,Asian
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,89,NA,Asian / Pacific Islander
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,58.6,NA,Children with one or more disabilities (IDEA)
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,70.7,NA,Economically Disadvantaged
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,67,NA,English Learner
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,73.4,NA,Hispanic/Latino
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,74,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.3,NA,White or Caucasian (not Hispanic)
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,55.4,NA,Homeless
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,25,NA,Foster care students
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,74.4,NA,Black or African American
2017-2018,COLORADO,,,695,Four-Year Adjusted-Cohort Graduation Rates,83,NA,Two or more races
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,88.4,NA,All Students
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,85,NA,American Indian or Alaska Native
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,NA,Asian
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,96,NA,Asian / Pacific Islander
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,65,NA,Children with one or more disabilities (IDEA)
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,79.5,NA,Economically Disadvantaged
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,67,NA,English Learner
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,78.6,NA,Hispanic/Latino
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,>=90,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,93.4,NA,White or Caucasian (not Hispanic)
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,70,NA,Homeless
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,48,NA,Foster care students
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.6,NA,Black or African American
2017-2018,CONNECTICUT,,,695,Four-Year Adjusted-Cohort Graduation Rates,88,NA,Two or more races
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,86.9,NA,All Students
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,NA,American Indian or Alaska Native
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,NA,Asian
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,95,NA,Asian / Pacific Islander
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,69,NA,Children with one or more disabilities (IDEA)
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,78,NA,Economically Disadvantaged
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,69,NA,English Learner
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,82,NA,Hispanic/Latino
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,>=50,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,89.9,NA,White or Caucasian (not Hispanic)
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,83,NA,Homeless
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,62,NA,Foster care students
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,83.2,NA,Black or African American
2017-2018,DELAWARE,,,695,Four-Year Adjusted-Cohort Graduation Rates,91,NA,Two or more races
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,68.5,NA,All Students
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,NA,American Indian or Alaska Native
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,NA,Asian
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,88,NA,Asian / Pacific Islander
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,47,NA,Children with one or more disabilities (IDEA)
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,58.9,NA,Economically Disadvantaged
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,56,NA,English Learner
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,65,NA,Hispanic/Latino
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,S,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,89,NA,White or Caucasian (not Hispanic)
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,44,NA,Homeless
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,46,NA,Foster care students
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,67,NA,Black or African American
2017-2018,DISTRICT OF COLUMBIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,>=90,NA,Two or more races
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,86.3,NA,All Students
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,80,NA,American Indian or Alaska Native
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,95.8,NA,Asian
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,95.5,NA,Asian / Pacific Islander
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,77.4,NA,Children with one or more disabilities (IDEA)
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.3,NA,Economically Disadvantaged
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,75.2,NA,English Learner
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.4,NA,Hispanic/Latino
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,89,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,89.3,NA,White or Caucasian (not Hispanic)
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,73.9,NA,Homeless
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,50,NA,Foster care students
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,81.2,NA,Black or African American
2017-2018,FLORIDA,,,695,Four-Year Adjusted-Cohort Graduation Rates,87.3,NA,Two or more races
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,81.6,NA,All Students
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,77,NA,American Indian or Alaska Native
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,90.3,NA,Asian / Pacific Islander
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,61.1,NA,Children with one or more disabilities (IDEA)
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,77.1,NA,Economically Disadvantaged
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,57.9,NA,English Learner
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,74.6,NA,Hispanic/Latino
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.9,NA,White or Caucasian (not Hispanic)
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,61,NA,Homeless
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,37,NA,Foster care students
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,79.4,NA,Black or African American
2017-2018,GEORGIA,,,695,Four-Year Adjusted-Cohort Graduation Rates,82,NA,Two or more races
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.5,NA,All Students
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,92,NA,Asian
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.6,NA,Asian / Pacific Islander
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,64,NA,Children with one or more disabilities (IDEA)
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,79.5,NA,Economically Disadvantaged
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,68,NA,English Learner
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,80,NA,Hispanic/Latino
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,76.7,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,86,NA,White or Caucasian (not Hispanic)
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,66,NA,Homeless
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,57,NA,Foster care students
2017-2018,HAWAII,,,695,Four-Year Adjusted-Cohort Graduation Rates,82,NA,Black or African American
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,80.7,NA,All Students
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,61,NA,American Indian or Alaska Native
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,86,NA,Asian
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,83,NA,Asian / Pacific Islander
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,59,NA,Children with one or more disabilities (IDEA)
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,72.3,NA,Economically Disadvantaged
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,76,NA,English Learner
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,75.9,NA,Hispanic/Latino
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,72,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,82.3,NA,White or Caucasian (not Hispanic)
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,58,NA,Homeless
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,47,NA,Foster care students
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,71,NA,Black or African American
2017-2018,IDAHO,,,695,Four-Year Adjusted-Cohort Graduation Rates,74,NA,Two or more races
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,86.5,NA,All Students
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,80,NA,American Indian or Alaska Native
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,94.1,NA,Asian
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,93.9,NA,Asian / Pacific Islander
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,71.6,NA,Children with one or more disabilities (IDEA)
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,78.7,NA,Economically Disadvantaged
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,72,NA,English Learner
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,82,NA,Hispanic/Latino
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,84,NA,Native Hawaiian/Other Pacific Islander or Pacific Islander
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,91.1,NA,White or Caucasian (not Hispanic)
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,67.8,NA,Homeless
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,56,NA,Foster care students
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,77.6,NA,Black or African American
2017-2018,ILLINOIS,,,695,Four-Year Adjusted-Cohort Graduation Rates,85.5,NA,Two or more races
2017-2018,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,88.1,NA,All Students
2017-2018,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,84,NA,American Indian or Alaska Native
2017-2018,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,96,NA,Asian
2017-2018,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,95,NA,Asian / Pacific Islander
2017-2018,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,72.6,NA,Children with one or more disabilities (IDEA)
2017-2018,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.5,NA,Economically Disadvantaged
2017-2018,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,69,NA,English Learner
2017-2018,INDIANA,,,695,Four-Year Adjusted-Cohort Graduation Rates,84.3,NA,Hispanic/Latino
